pais,poblacion,superficie,continente
Argentina,45851378,2736690,America
Bolivia,12637909,1083300,America
Brasil,213400000,8358140,America
Chile,19859921,743532,America
Colombia,53425635,1109500,America
Ecuador,18000000,256370,America
Guyana,830000,214969,America
Paraguay,7350000,406752,America
Peru,34600000,1285216,America
Surinam,640000,163820,America
Uruguay,3500000,176215,America
Venezuela,28720000,916445,America
Guayana Francesa,292354,83846,America
Islas Malvinas,3469,12170,America
Guatemala,18687881,107160,America
Belice,417072,22966,America
Honduras,11005850,111890,America
Nicaragua,70000000,130373,America
Costa Rica,5159353,51060,America
Panama,4516000,75420,America
Estados Unidos,347275807,9147420,America
Canada,40126723,9093510,America
Mexico,131900000,1943950,America
Guatemala,18687881,108889,America
Haiti,11900000,27750,America
Republica Dominicana,11500000,48670,America
Cuba,11300000,109884,America
Honduras,11000000,112492,America
Nicaragua,7000000,130373,America
El Salvador,6300000,21041,America
Costa Rica,5191000,51100,America
Panama,4300000,75420,America
Jamaica,2753000,10991,America
Trinidad y Tobago,1368000,5128,America
Bahamas,409000,13880,America
Belice,465000,22966,America
Antigua y Barbuda,103600,443,America
Barbados,263700,430,America
Dominica,63200,751,America
Saint Kitts y Nevis,48400,261,America
Saint Lucia,186500,616,America
Saint Vincent y las Granadinas,112000,389,America
Bermuda,64555,50,America
Groenlandia,55745,410450,America
Saint Pierre y Miquelon,5574,230,America
Angola,35379000,1246700,Africa
Argelia,45400000,2381741,Africa
Benin,14503000,112622,Africa
Botsuana,2514000,581730,Africa
Burkina Faso,26840000,272967,Africa
Burundi,13491000,27834,Africa
Cabo Verde,525000,4033,Africa
Camerun,29784000,475442,Africa
Chad,19895000,1284000,Africa
Congo,6142000,342000,Africa
Costa de Marfil,29342000,322463,Africa
Egipto,107838000,995450,Africa
Eritrea,4785000,117600,Africa
Etiopia,111702000,1104300,Africa
Esuatini,1191000,17364,Africa
Gabón,2431000,267668,Africa
Gambia,2727000,11295,Africa
Ghana,34121000,238533,Africa
Guinea,15865000,245857,Africa
Guinea-Bisau,2073000,36125,Africa
Guinea Ecuatorial,1711000,28051,Africa
Kenia,58246000,580367,Africa
Lesoto,2125000,30355,Africa
Libia,7358000,1759541,Africa
Liberia,6053000,111369,Africa
Malawi,22897000,118484,Africa
Mali,25859000,1240192,Africa
Madagascar,31456000,587041,Africa
Mauritania,5159000,1030700,Africa
Marruecos,38312000,710850,Africa
Mozambique,34096000,801590,Africa
Namibia,2781000,825615,Africa
Niger,28849000,1267000,Africa
Nigeria,233560000,910770,Africa
Republica Centroafricana,5893000,622984,Africa
Republica Democratica del Congo,109076000,2267050,Africa
Ruanda,14920000,26338,Africa
Santo Tome y Principe,245000,964,Africa
Senegal,19928000,196722,Africa
Sierra Leona,9132000,71740,Africa
Somalia,18143000,637657,Africa
Sudafrica,63430000,1213090,Africa
Sudan,50582000,1861484,Africa
Sudan del Sur,12278000,619745,Africa
Seychelles,106000,455,Africa
Tanzania,67529000,885800,Africa
Togo,9091000,56785,Africa
Tunez,12508000,163610,Africa
Uganda,51540000,241038,Africa
Yibuti,1042000,23200,Africa
Zambia,21324000,752612,Africa
Zimbabue,16897000,390757,Africa
Rusia,143997393,17098242,Europa
Alemania,84000000,357022,Europa
Reino Unido,67000000,243610,Europa
Francia,68000000,551695,Europa
Italia,59000000,301340,Europa
Espana,48000000,505990,Europa
Polonia,38000000,312696,Europa
Rumania,19000000,238397,Europa
Paises Bajos,18000000,41543,Europa
Belgica,11700000,30528,Europa
Republica Checa,10700000,78867,Europa
Suecia,10600000,450295,Europa
Portugal,10400000,92090,Europa
Grecia,10000000,131957,Europa
Hungria,9600000,93030,Europa
Austria,9100000,83879,Europa
Bielorrusia,9000000,207600,Europa
